reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-18384	C00005 + C00011 + C00894 = C00006 + C01213	5.0 millimolar / second	-40.836293713945 kilojoule / mole	-40.78324765257983 kilojoule / mole	-23.668410117858798 kilojoule / mole	-20.22735196826404 kilojoule / mole	0.0
PROPIONYL-COA-CARBOXY-RXN	C00002 + C00100 + C00288 = C00008 + C00009 + C00080 + C00683	5.0 millimolar / second	-2.7445003681897973 kilojoule / mole	-2.953657199338018 kilojoule / mole	-2.953657199338018 kilojoule / mole	-42.667989064221565 kilojoule / mole	0.0
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	5.0 millimolar / second	19.81002119165261 kilojoule / mole	19.838491661025913 kilojoule / mole	19.838491661025913 kilojoule / mole	12.801449806321894 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	5.0 millimolar / second	-5.187235000808812 kilojoule / mole	-5.113348326955535 kilojoule / mole	-5.113348326955535 kilojoule / mole	-34.65959044639595 kilojoule / mole	0.0
RXN-16767	C21424 = C00004	5.0 millimolar / second	0.5321601063815251 kilojoule / mole	3.5110858918160934 kilojoule / mole	3.5110858918160934 kilojoule / mole	15.12280645262691 kilojoule / mole	0.0
FUMARATE-REDUCTASE-NADH-RXN	C00003 + C00042 = C00004 + C00080 + C00122	5.0 millimolar / second	61.21694462493679 kilojoule / mole	61.153861389335795 kilojoule / mole	61.153861389335795 kilojoule / mole	11.515717678938932 kilojoule / mole	0.0
FUMHYDR-RXN[CCO-CYTOSOL]-MAL//FUM/WATER.28.	C00001 + C00122 = C00149	5.0 millimolar / second	-3.4300285975664337 kilojoule / mole	-3.4288817753861176 kilojoule / mole	-3.4288817753861176 kilojoule / mole	-1.0369044124614057 kilojoule / mole	0.0
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	5.0 millimolar / second	-63.201803634130385 kilojoule / mole	-62.9342796897049 kilojoule / mole	-80.04911722442593 kilojoule / mole	-73.85415726360064 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NAD/WATER//OXALACETIC_ACID/AMMONIUM/NADH/PROTON.60.	C00004 + C00014 + C00036 + C00080 = C00001 + C00003 + C00049	5.0 millimolar / second	-39.32614893702126 kilojoule / mole	-39.32623801682465 kilojoule / mole	-22.211400482103617 kilojoule / mole	19.204705345285188 kilojoule / mole	0.0
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	5.0 millimolar / second	-3.5569274338457717 kilojoule / mole	-3.459689880706571 kilojoule / mole	-3.459689880706571 kilojoule / mole	-2.854119086100897 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51.	C00004 + C00080 + C00441 = C00003 + C00263	5.0 millimolar / second	-22.520671894942552 kilojoule / mole	-22.529655583659196 kilojoule / mole	-22.529655583659196 kilojoule / mole	18.602084635032394 kilojoule / mole	0.0
MALYL-COA-LYASE-RXN	C04348 = C00024 + C00048	5.0 millimolar / second	16.1622318415602 kilojoule / mole	16.162230853511062 kilojoule / mole	-0.9526066812099698 kilojoule / mole	-2.5896984088239403 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	5.0 millimolar / second	20.345053421939667 kilojoule / mole	20.34505390988599 kilojoule / mole	3.230216375164958 kilojoule / mole	20.272565132407564 kilojoule / mole	0.0
RXN-15977	C00007 + C00100 = C00027 + C00894	5.0 millimolar / second	-71.86862986103537 kilojoule / mole	-50.62530437281475 kilojoule / mole	-50.62530437281475 kilojoule / mole	-26.609316184623328 kilojoule / mole	0.0
RXN-16774	C00003 + C00027 = C00007 + C00080 + C21424	5.0 millimolar / second	131.89141496345414 kilojoule / mole	107.50343435834911 kilojoule / mole	107.50343435834911 kilojoule / mole	27.634192521903884 kilojoule / mole	1.0
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	5.0 millimolar / second	22.274273316339418 kilojoule / mole	22.27427512772764 kilojoule / mole	22.27427512772764 kilojoule / mole	19.027163296123806 kilojoule / mole	0.0
2.1.3.1-RXN	C00022 + C00683 = C00036 + C00100	5.0 millimolar / second	-2.183111131228017 kilojoule / mole	-2.026043384892763 kilojoule / mole	-2.026043384892763 kilojoule / mole	0.29131736711105516 kilojoule / mole	0.0
RXN-8964	C00091 + C00149 = C00042 + C04348	5.0 millimolar / second	-5.964746905089896 kilojoule / mole	-5.939474935024646 kilojoule / mole	-5.939474935024646 kilojoule / mole	-5.431656081654374 kilojoule / mole	0.0
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	5.0 millimolar / second	-8.353466868023588 kilojoule / mole	-8.353465794178803 kilojoule / mole	-8.353465794178803 kilojoule / mole	-7.2568891468664205 kilojoule / mole	0.0
