reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PROPIONYL-COA-CARBOXY-RXN	C00002 + C00100 + C00288 = C00008 + C00009 + C00080 + C00683	5.0 millimolar / second	-2.7445003681897973 kilojoule / mole	-1.5718444174610373 kilojoule / mole	-1.5718444174610373 kilojoule / mole	-29.767175869812185 kilojoule / mole	0.0
RXN-13029	C00011 + C00136 = C00080 + C18026	5.0 millimolar / second	13.702958804193713 kilojoule / mole	0.45551598722673425 kilojoule / mole	17.570353521947766 kilojoule / mole	-7.242852039792559 kilojoule / mole	0.15574
RXN0-5224	C00001 + C00011 = C00080 + C00288	5.0 millimolar / second	-5.187235000808812 kilojoule / mole	-17.56045574802039 kilojoule / mole	-17.56045574802039 kilojoule / mole	-61.07298476142476 kilojoule / mole	0.0
RXN-9092	C00002 + C00010 + C00989 = C00013 + C00020 + C11062	5.0 millimolar / second	-26.43411614945444 kilojoule / mole	-25.55074252619352 kilojoule / mole	-25.55074252619352 kilojoule / mole	-12.248550914865001 kilojoule / mole	0.0
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	C00004 + C00080 + C00232 = C00003 + C00989	5.0 millimolar / second	0.38238536041001225 kilojoule / mole	0.38118815105711334 kilojoule / mole	0.38118815105711334 kilojoule / mole	-7.335068604537034 kilojoule / mole	0.0
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	5.0 millimolar / second	-8.353466868023588 kilojoule / mole	-7.897642630402325 kilojoule / mole	-7.897642630402325 kilojoule / mole	-7.338972766616484 kilojoule / mole	0.0
RXN-16391	C18026 = C20238	5.0 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-7.24285203979493 kilojoule / mole	0.15574
RXN-8958	C20238 = C18324	5.0 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-7.242852039794923 kilojoule / mole	0.15574
METHYLMALONYL-COA-EPIM-RXN	C00683 = C01213	5.0 millimolar / second	0.15463308194898673 kilojoule / mole	0.6104781404242559 kilojoule / mole	0.6104781404242559 kilojoule / mole	-7.339752432536048 kilojoule / mole	0.0
BUTYRYL-COA-DEHYDROGENASE-RXN	C00877 + ETF__45__Reduced = C00080 + C00136 + C04253	5.0 millimolar / second	9.83954537311729 kilojoule / mole	43.5864142823308 kilojoule / mole	43.5864142823308 kilojoule / mole	-7.24285201159374 kilojoule / mole	0.15574
RXN-8960	C00001 + C06028 = C06027	5.0 millimolar / second	3.686969438274673 kilojoule / mole	3.741870344437324 kilojoule / mole	3.741870344437324 kilojoule / mole	-7.242852039796551 kilojoule / mole	0.15574
RXN-8890	C11062 = C00001 + C00877	5.0 millimolar / second	-10.85361710774373 kilojoule / mole	-7.242852042051297 kilojoule / mole	-7.242852042051297 kilojoule / mole	-7.242852041362735 kilojoule / mole	0.06558
RXN-8959	C00080 + C04253 + C18324 = C06028 + ETF__45__Reduced	5.0 millimolar / second	-7.5268491326257845 kilojoule / mole	-45.60134604224792 kilojoule / mole	-45.60134604224792 kilojoule / mole	-7.242852011593747 kilojoule / mole	0.15574
RXN-8961	C06027 = C00048 + C00100	5.0 millimolar / second	15.049597135860907 kilojoule / mole	13.838221915720473 kilojoule / mole	-3.2766156190005615 kilojoule / mole	-11.647239349498333 kilojoule / mole	0.0
RXN-8891	C00005 + C00080 + C00091 = C00006 + C00010 + C00232	5.0 millimolar / second	11.058348804426032 kilojoule / mole	11.122543355812935 kilojoule / mole	-5.992294178908098 kilojoule / mole	-7.337958210144402 kilojoule / mole	0.0
