reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PEPCARBOX-RXN	C00074 + C00288 = C00009 + C00036	10.0 millimolar / second	-32.510934857724 kilojoule / mole	-32.66552969802295 kilojoule / mole	-32.66552969802295 kilojoule / mole	-24.541465697288018 kilojoule / mole	0.0
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	5.0 millimolar / second	19.81002119165261 kilojoule / mole	19.199181970702014 kilojoule / mole	19.199181970702014 kilojoule / mole	-8.280977798069783 kilojoule / mole	0.13749
RXN0-5224	C00001 + C00011 = C00080 + C00288	10.0 millimolar / second	-5.187235000808812 kilojoule / mole	-4.769067049894888 kilojoule / mole	-4.769067049894888 kilojoule / mole	-23.9463993167862 kilojoule / mole	0.0
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	5.0 millimolar / second	-63.201803634130385 kilojoule / mole	-49.444841548131876 kilojoule / mole	-66.55967908285291 kilojoule / mole	-49.60921074831073 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NAD/WATER//OXALACETIC_ACID/AMMONIUM/NADH/PROTON.60.	C00004 + C00014 + C00036 + C00080 = C00001 + C00003 + C00049	5.0 millimolar / second	-39.326148937021344 kilojoule / mole	-39.36658813325544 kilojoule / mole	-22.251750598534404 kilojoule / mole	-12.516549029645862 kilojoule / mole	0.0
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	5.0 millimolar / second	-3.5569274338458854 kilojoule / mole	-17.69924856516478 kilojoule / mole	-17.69924856516478 kilojoule / mole	-8.280977797706958 kilojoule / mole	0.13749
HOMOSERDEHYDROG-RXN-HOMO-SER/NADP//L-ASPARTATE-SEMIALDEHYDE/NADPH/PROTON.53.	C00005 + C00080 + C00441 = C00006 + C00263	5.0 millimolar / second	-22.390116860941134 kilojoule / mole	-22.408532432612883 kilojoule / mole	-22.408532432612883 kilojoule / mole	-15.694491128448654 kilojoule / mole	0.0
MALYL-COA-LYASE-RXN	C04348 = C00024 + C00048	5.0 millimolar / second	16.1622318415602 kilojoule / mole	7.8868083324792835 kilojoule / mole	-9.22802920224175 kilojoule / mole	-8.280977798248397 kilojoule / mole	0.13049
MALATE-DEH-RXN[CCO-CYTOSOL]-MAL/NAD//OXALACETIC_ACID/NADH/PROTON.50.	C00004 + C00036 + C00080 = C00003 + C00149	5.0 millimolar / second	-29.558211165424837 kilojoule / mole	-29.573163475559863 kilojoule / mole	-29.573163475559863 kilojoule / mole	-21.532164217358872 kilojoule / mole	0.0
PEPDEPHOS-RXN	C00002 + C00022 = C00008 + C00074 + C00080	10.0 millimolar / second	27.583323358306416 kilojoule / mole	27.76251581177249 kilojoule / mole	27.76251581177249 kilojoule / mole	-10.368483606070145 kilojoule / mole	0.0
RXN-13230	C06028 = C18323	5.0 millimolar / second	1.3574208423960954e-10 kilojoule / mole	1.3574208423960954e-10 kilojoule / mole	1.3574208423960954e-10 kilojoule / mole	-8.280977797869518 kilojoule / mole	0.14689
RXN-8965	C00001 + C18323 = C01011	5.0 millimolar / second	-0.3988046682220556 kilojoule / mole	-0.6249860998204753 kilojoule / mole	-0.6249860998204753 kilojoule / mole	-8.280977797872323 kilojoule / mole	0.14689
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	5.0 millimolar / second	20.345053421939724 kilojoule / mole	20.345054261764982 kilojoule / mole	3.2302167270439495 kilojoule / mole	-10.887079601110969 kilojoule / mole	0.0
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	5.0 millimolar / second	22.274273316339645 kilojoule / mole	22.274276518389375 kilojoule / mole	22.274276518389375 kilojoule / mole	-10.427513687966847 kilojoule / mole	0.0
MALATE--COA-LIGASE-RXN	C00002 + C00010 + C00149 = C00008 + C00009 + C04348	5.0 millimolar / second	-7.716096846263326 kilojoule / mole	3.633585175182885 kilojoule / mole	3.633585175182885 kilojoule / mole	-14.861937544300853 kilojoule / mole	0.0
CITRAMALYL-COA-LYASE-RXN	C01011 = C00022 + C00024	5.0 millimolar / second	7.059838100394472 kilojoule / mole	7.886808254980608 kilojoule / mole	-9.228029279740426 kilojoule / mole	-8.280977853687833 kilojoule / mole	0.00699
RXN-8960	C06027 = C00001 + C06028	5.0 millimolar / second	-3.686969438274673 kilojoule / mole	-3.8789663156244467 kilojoule / mole	-3.8789663156244467 kilojoule / mole	-8.280977797869673 kilojoule / mole	0.14689
RXN-8961	C00048 + C00100 = C06027	5.0 millimolar / second	-15.049597135861177 kilojoule / mole	-17.210067156394352 kilojoule / mole	-0.0952296216733175 kilojoule / mole	-8.280977797866472 kilojoule / mole	0.14689
