reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-8957	C00005 + C00011 + C00877 = C00006 + C18026	5.0 millimolar / second	-39.850515858687686 kilojoule / mole	-37.46797046537215 kilojoule / mole	-20.35313293065111 kilojoule / mole	-21.611054883035703 kilojoule / mole	0.0
PROPIONYL-COA-CARBOXY-RXN	C00002 + C00100 + C00288 = C00008 + C00009 + C00080 + C00683	5.0 millimolar / second	-2.7445003681897973 kilojoule / mole	-4.970212228857275 kilojoule / mole	-4.970212228857275 kilojoule / mole	-20.475418478831333 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	5.0 millimolar / second	-5.187235000808812 kilojoule / mole	-5.291661217859806 kilojoule / mole	-5.291661217859806 kilojoule / mole	-21.77903357863213 kilojoule / mole	0.0
PHOSACETYLTRANS-RXN	C00010 + C00227 = C00009 + C00024	5.0 millimolar / second	-8.87898156028632 kilojoule / mole	-8.836942626851956 kilojoule / mole	-8.836942626851956 kilojoule / mole	-14.525354961783796 kilojoule / mole	0.0
RXN-12957	C00028 + C00527 = C00030 + C02411	5.0 millimolar / second	-4.271996296595717 kilojoule / mole	-32.81915659068501 kilojoule / mole	-32.81915659068501 kilojoule / mole	-11.021289506488376 kilojoule / mole	0.0
RXN-7566	C00009 + C00037 + C00080 + C00342 = C00001 + C00014 + C00227 + C00343	5.0 millimolar / second	-2.7069868415694174 kilojoule / mole	-1.2618292756743081 kilojoule / mole	-1.2618292756743081 kilojoule / mole	-13.434717132794985 kilojoule / mole	0.0
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	C00004 + C00080 + C00232 = C00003 + C00989	5.0 millimolar / second	0.38238536041012594 kilojoule / mole	0.38967236146054723 kilojoule / mole	0.38967236146054723 kilojoule / mole	-13.132837482636964 kilojoule / mole	0.0
GLUTARYL-COA-DEHYDROG-RXN	C02411 + ETF__45__Reduced = C00080 + C00527 + C04253	5.0 millimolar / second	4.271996296595717 kilojoule / mole	24.0300894713611 kilojoule / mole	24.0300894713611 kilojoule / mole	-10.645569614302019 kilojoule / mole	0.2
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	5.0 millimolar / second	-8.353466868023588 kilojoule / mole	-8.353466624635534 kilojoule / mole	-8.353466624635534 kilojoule / mole	-12.388826161233368 kilojoule / mole	0.0
RXN-16391	C18026 = C20238	5.0 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-10.645569627801587 kilojoule / mole	0.2
RXN-8958	C20238 = C18324	5.0 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-10.645569627801592 kilojoule / mole	0.2
GLYCINE-DEHYDROGENASE-RXN	C00004 + C00014 + C00048 + C00080 = C00001 + C00003 + C00037	5.0 millimolar / second	-45.01502113453758 kilojoule / mole	-44.800551001988126 kilojoule / mole	-27.68571346726709 kilojoule / mole	-14.018607976355145 kilojoule / mole	0.0
METHYLMALONYL-COA-EPIM-RXN	C00683 = C01213	5.0 millimolar / second	0.15463308194898673 kilojoule / mole	0.15463373301702688 kilojoule / mole	0.15463373301702688 kilojoule / mole	-12.262567491634686 kilojoule / mole	0.0
RXN-8960	C00001 + C06028 = C06027	5.0 millimolar / second	3.686969438274673 kilojoule / mole	-3.533646460810613 kilojoule / mole	-3.533646460810613 kilojoule / mole	-10.645569627803777 kilojoule / mole	0.2
ACETATE--COA-LIGASE-ADP-FORMING-RXN	C00002 + C00010 + C00033 = C00008 + C00009 + C00024	5.0 millimolar / second	4.750656085799179 kilojoule / mole	4.796703369563415 kilojoule / mole	4.796703369563415 kilojoule / mole	-16.430459459136983 kilojoule / mole	0.0
RXN-8890	C11062 = C00001 + C00877	5.0 millimolar / second	-10.85361710774373 kilojoule / mole	-10.709781459347152 kilojoule / mole	-10.709781459347152 kilojoule / mole	-14.95784221876221 kilojoule / mole	0.0
RXN-8959	C00080 + C04253 + C18324 = C06028 + ETF__45__Reduced	5.0 millimolar / second	-7.5268491326257845 kilojoule / mole	-28.084724365339962 kilojoule / mole	-28.084724365339962 kilojoule / mole	-10.645569614301984 kilojoule / mole	0.2
RXN-8961	C06027 = C00048 + C00100	5.0 millimolar / second	15.049597135861177 kilojoule / mole	16.707584035472237 kilojoule / mole	-0.40725349924879417 kilojoule / mole	-12.408527948730404 kilojoule / mole	0.0
RXN-8889	C00024 + C00989 = C00033 + C11062	5.0 millimolar / second	-21.03144552020194 kilojoule / mole	-19.97613106182602 kilojoule / mole	-19.97613106182602 kilojoule / mole	-14.458763685636793 kilojoule / mole	0.0
RXN-8891	C00005 + C00080 + C00091 = C00006 + C00010 + C00232	5.0 millimolar / second	11.058348804426032 kilojoule / mole	10.479421055354987 kilojoule / mole	-6.6354164793660475 kilojoule / mole	-13.115728590196628 kilojoule / mole	0.0
