reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-18384	C00005 + C00011 + C00894 = C00006 + C01213	5.0 millimolar / second	-40.836293713945 kilojoule / mole	-54.76838592098983 kilojoule / mole	-37.653548386268795 kilojoule / mole	-45.23555591115736 kilojoule / mole	0.0
RXN-13029	C00011 + C00136 = C00080 + C18026	5.0 millimolar / second	13.702958804193713 kilojoule / mole	0.14282604342612437 kilojoule / mole	17.25766357814716 kilojoule / mole	-6.972656667511582 kilojoule / mole	0.13509
RXN-9092	C00002 + C00010 + C00989 = C00013 + C00020 + C11062	5.0 millimolar / second	-26.43411614945444 kilojoule / mole	-25.52362498792586 kilojoule / mole	-25.52362498792586 kilojoule / mole	-13.554112184850672 kilojoule / mole	0.0
LACCOA-RXN	C00100 + C00256 = C00163 + C00827	5.0 millimolar / second	-12.743669240302523 kilojoule / mole	-11.872785544227964 kilojoule / mole	-11.872785544227964 kilojoule / mole	-9.481312351897413 kilojoule / mole	0.0
DLACTDEHYDROGNAD-RXN	C00004 + C00022 + C00080 = C00003 + C00256	5.0 millimolar / second	-23.680307830950255 kilojoule / mole	-23.680331831104198 kilojoule / mole	-23.680331831104198 kilojoule / mole	-9.779810347470383 kilojoule / mole	0.0
RXN-13230	C06028 = C18323	5.0 millimolar / second	1.3574208423960954e-10 kilojoule / mole	1.3574208423960954e-10 kilojoule / mole	1.3574208423960954e-10 kilojoule / mole	-6.972656667510292 kilojoule / mole	0.13509
RXN-8965	C00001 + C18323 = C01011	5.0 millimolar / second	-0.3988046682220556 kilojoule / mole	-0.5833032061833595 kilojoule / mole	-0.5833032061833595 kilojoule / mole	-6.972656667510342 kilojoule / mole	0.13509
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	C00004 + C00080 + C00232 = C00003 + C00989	5.0 millimolar / second	0.3823853604100691 kilojoule / mole	0.38105628722986046 kilojoule / mole	0.38105628722986046 kilojoule / mole	-7.599252423647576 kilojoule / mole	0.0
LACTOYL-COA-DEHYDRATASE-RXN	C00827 = C00001 + C00894	5.0 millimolar / second	2.0922651977497964 kilojoule / mole	2.327956726273945 kilojoule / mole	2.327956726273945 kilojoule / mole	-9.223234061405789 kilojoule / mole	0.0
CITRAMALYL-COA-LYASE-RXN	C01011 = C00022 + C00024	5.0 millimolar / second	7.059838100394472 kilojoule / mole	8.84185126514986 kilojoule / mole	-8.272986269571174 kilojoule / mole	-9.889855246608636 kilojoule / mole	0.0
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	5.0 millimolar / second	-8.353466868023588 kilojoule / mole	-7.864987123675005 kilojoule / mole	-7.864987123675005 kilojoule / mole	-8.454522354913061 kilojoule / mole	0.0
RXN-16391	C18026 = C20238	5.0 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-6.972656667494311 kilojoule / mole	0.13509
RXN-8958	C20238 = C18324	5.0 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-6.972656667491346 kilojoule / mole	0.13509
BUTYRYL-COA-DEHYDROGENASE-RXN	C00877 + ETF__45__Reduced = C00080 + C00136 + C04253	5.0 millimolar / second	9.83954537311729 kilojoule / mole	45.55371971132204 kilojoule / mole	45.55371971132204 kilojoule / mole	-6.9726564557529755 kilojoule / mole	0.13509
RXN-8890	C11062 = C00001 + C00877	5.0 millimolar / second	-10.85361710774373 kilojoule / mole	-6.972656688619799 kilojoule / mole	-6.972656688619799 kilojoule / mole	-6.972656681371293 kilojoule / mole	0.05439
PROPANOATECOA-LIGASE-RXN	C00002 + C00010 + C00163 = C00008 + C00009 + C00100	5.0 millimolar / second	11.805902603180975 kilojoule / mole	11.152534849126411 kilojoule / mole	11.152534849126411 kilojoule / mole	-9.320342377654804 kilojoule / mole	0.0
RXN-8959	C00080 + C04253 + C18324 = C06028 + ETF__45__Reduced	5.0 millimolar / second	-7.5268491326257845 kilojoule / mole	-48.282272079589355 kilojoule / mole	-48.282272079589355 kilojoule / mole	-6.9726564557529755 kilojoule / mole	0.13509
RXN-8891	C00005 + C00080 + C00091 = C00006 + C00010 + C00232	5.0 millimolar / second	11.058348804426032 kilojoule / mole	11.151490742046159 kilojoule / mole	-5.963346792674875 kilojoule / mole	-7.880898279060604 kilojoule / mole	0.0
