reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PROPIONYL-COA-CARBOXY-RXN	C00002 + C00100 + C00288 = C00008 + C00009 + C00080 + C00683	5.0 millimolar / second	-2.7445003681897973 kilojoule / mole	-2.93984824832218 kilojoule / mole	-2.93984824832218 kilojoule / mole	-35.61468283740187 kilojoule / mole	0.0
GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	C00004 + C00011 + C00014 + C00143 = C00003 + C00037 + C00101	5.0 millimolar / second	-22.18646711534643 kilojoule / mole	-22.09951619720372 kilojoule / mole	-4.984678662482684 kilojoule / mole	11.647768926561506 kilojoule / mole	0.0
RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	C00067 + C00101 = C00001 + C00143	5.0 millimolar / second	-25.355278707548877 kilojoule / mole	-25.342563192831417 kilojoule / mole	-8.227725658110385 kilojoule / mole	2.4680861818387765 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	5.0 millimolar / second	-5.187235000808812 kilojoule / mole	-5.118221047320369 kilojoule / mole	-5.118221047320369 kilojoule / mole	-35.88033529911376 kilojoule / mole	0.0
RXN-16767	C21424 = C00004	5.0 millimolar / second	0.5321601063815251 kilojoule / mole	3.314501426966508 kilojoule / mole	3.314501426966508 kilojoule / mole	14.151936804164567 kilojoule / mole	0.0
PHOSACETYLTRANS-RXN	C00010 + C00227 = C00009 + C00024	5.0 millimolar / second	-8.87898156028632 kilojoule / mole	-8.880332245266608 kilojoule / mole	-8.880332245266608 kilojoule / mole	0.46921065122055755 kilojoule / mole	0.0
ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN-L-ALPHA-ALANINE/2-OXOBUTANOATE//PYRUVATE/CPD-298.49.	C00041 + C00109 = C00022 + C02721	5.0 millimolar / second	34.571516194760434 kilojoule / mole	34.171048173243086 kilojoule / mole	34.171048173243086 kilojoule / mole	18.304618165300802 kilojoule / mole	0.0
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	5.0 millimolar / second	-63.20180363413033 kilojoule / mole	-62.95193612660241 kilojoule / mole	-80.06677366132344 kilojoule / mole	-78.82438287005313 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NADP/WATER//OXALACETIC_ACID/AMMONIUM/NADPH/PROTON.62.	C00005 + C00014 + C00036 + C00080 = C00001 + C00006 + C00049	5.0 millimolar / second	-39.19559390302061 kilojoule / mole	-39.18309417108245 kilojoule / mole	-22.068256636361415 kilojoule / mole	12.388403902049586 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NADP//L-ASPARTATE-SEMIALDEHYDE/NADPH/PROTON.53.	C00005 + C00080 + C00441 = C00006 + C00263	5.0 millimolar / second	-22.390116860941134 kilojoule / mole	-22.385922550979036 kilojoule / mole	-22.385922550979036 kilojoule / mole	7.550643492188125 kilojoule / mole	0.0
RXN-7566	C00009 + C00037 + C00080 + C00342 = C00001 + C00014 + C00227 + C00343	5.0 millimolar / second	-2.7069868415694742 kilojoule / mole	-2.710775001118824 kilojoule / mole	-2.710775001118824 kilojoule / mole	19.09183700236631 kilojoule / mole	0.0
N-METHYL-L-AMINO-ACID-OXIDASE-RXN-CPD-298/OXYGEN-MOLECULE/WATER//L-ALPHA-ALANINE/FORMALDEHYDE/HYDROGEN-PEROXIDE.78.	C00001 + C00007 + C02721 = C00027 + C00041 + C00067	5.0 millimolar / second	-68.9962422617597 kilojoule / mole	-48.68111948896504 kilojoule / mole	-65.79595702368607 kilojoule / mole	-40.94458706605717 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	5.0 millimolar / second	20.34505342193961 kilojoule / mole	20.3450541448012 kilojoule / mole	3.230216610080165 kilojoule / mole	21.2987398863031 kilojoule / mole	0.0
RXN-16774	C00003 + C00027 = C00007 + C00080 + C21424	5.0 millimolar / second	131.89141496345414 kilojoule / mole	109.11289348277711 kilojoule / mole	109.11289348277711 kilojoule / mole	29.243651652790867 kilojoule / mole	1.0
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	5.0 millimolar / second	22.274273316339418 kilojoule / mole	22.274275053335476 kilojoule / mole	22.274275053335476 kilojoule / mole	19.903813202201878 kilojoule / mole	0.0
2.1.3.1-RXN	C00022 + C00683 = C00036 + C00100	5.0 millimolar / second	-2.183111131228017 kilojoule / mole	-2.036414930644406 kilojoule / mole	-2.036414930644406 kilojoule / mole	-0.33938250694792294 kilojoule / mole	0.0
