reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
ACETYL-COA-CARBOXYLTRANSFER-RXN	C00002 + C00024 + C00288 = C00008 + C00009 + C00080 + C00083	5.0 millimolar / second	-6.819476712687852 kilojoule / mole	-6.744874044636083 kilojoule / mole	-6.744874044636083 kilojoule / mole	-4.615053025047102 kilojoule / mole	0.0
ISOCITDEH-RXN	C00005 + C00011 + C00026 = C00006 + C00311	5.0 millimolar / second	-5.475979454694226 kilojoule / mole	-6.0025557303707835 kilojoule / mole	11.11228180435025 kilojoule / mole	15.281426479754423 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	5.0 millimolar / second	-5.187235000808812 kilojoule / mole	-5.518836388591392 kilojoule / mole	-5.518836388591392 kilojoule / mole	-18.21208486147845 kilojoule / mole	0.0
DIMETHYLPROPIOTHETIN-DETHIOMETHYLASE-RXN	C04022 = C00080 + C00511 + C00580	5.0 millimolar / second	23.086903788577487 kilojoule / mole	33.48736668068092 kilojoule / mole	16.372529145959888 kilojoule / mole	11.862811748194824 kilojoule / mole	0.0
HYDGLUTSYN-RXN	C00001 + C00048 + C00100 = C00010 + C00080 + C02630	5.0 millimolar / second	-39.55379493750601 kilojoule / mole	-31.203883241561364 kilojoule / mole	-31.203883241561364 kilojoule / mole	-27.475940483042258 kilojoule / mole	0.0
RXN-8974	C00005 + C00080 + C00222 = C00006 + C01013	5.0 millimolar / second	-23.328358352916297 kilojoule / mole	-17.435360781276998 kilojoule / mole	-17.435360781276998 kilojoule / mole	15.53545414121366 kilojoule / mole	0.0
FUMARATE-REDUCTASE-NADH-RXN	C00003 + C00042 = C00004 + C00080 + C00122	5.0 millimolar / second	61.21694462493679 kilojoule / mole	61.648545284121376 kilojoule / mole	61.648545284121376 kilojoule / mole	20.654712687617124 kilojoule / mole	0.15607
FUMHYDR-RXN[CCO-CYTOSOL]-MAL//FUM/WATER.28.	C00001 + C00122 = C00149	5.0 millimolar / second	-3.4300285975664337 kilojoule / mole	-3.375341643228604 kilojoule / mole	-3.375341643228604 kilojoule / mole	7.694108635584707 kilojoule / mole	0.0
MALONATE-COA-TRANSFERASE-RXN	C00033 + C00083 = C00024 + C00383	5.0 millimolar / second	11.612711003881216 kilojoule / mole	17.57462351598206 kilojoule / mole	17.57462351598206 kilojoule / mole	13.38270662576366 kilojoule / mole	0.0
1.7.1.9-RXN-4-HYDROXYAMINOQUINOLINE-N-OXIDE/NADP/WATER//4-NITROQUINOLINE-N-OXIDE/NADPH/PROTON.82.	C00001 + 2 C00006 + C04050 = 2 C00005 + 2 C00080 + C03474	2.5 millimolar / second	201.9455101639078 kilojoule / mole	64.00497259185516 kilojoule / mole	64.00497259185516 kilojoule / mole	19.80583297346331 kilojoule / mole	0.0
1.7.1.9-RXN-4-HYDROXYAMINOQUINOLINE-N-OXIDE/NAD/WATER//4-NITROQUINOLINE-N-OXIDE/NADH/PROTON.80.	2 C00004 + 2 C00080 + C03474 = C00001 + 2 C00003 + C04050	2.5 millimolar / second	-202.20662023191042 kilojoule / mole	-64.27127099390754 kilojoule / mole	-64.27127099390754 kilojoule / mole	-20.7455490521113 kilojoule / mole	0.0
RXN-14103	C00016 + C00080 + C02630 = C00026 + C01352	5.0 millimolar / second	-0.14907495812690286 kilojoule / mole	-5.175575621512353 kilojoule / mole	-5.175575621512353 kilojoule / mole	5.055025434676246 kilojoule / mole	0.0
RXN-8568	C00004 + C00080 + C00894 = C00003 + C00100	5.0 millimolar / second	-60.554945208800746 kilojoule / mole	-58.4435915953962 kilojoule / mole	-58.4435915953962 kilojoule / mole	-28.41420683764305 kilojoule / mole	0.0
OXALOACETASE-RXN	C00001 + C00036 = C00033 + C00080 + C00209	5.0 millimolar / second	-52.547326318724856 kilojoule / mole	-53.19863240509614 kilojoule / mole	-70.31346993981718 kilojoule / mole	-75.07819604802124 kilojoule / mole	0.0
RXN-10937	C00080 + C00580 + C01013 = C00001 + C04022	5.0 millimolar / second	-12.91449810826839 kilojoule / mole	-16.825601055987676 kilojoule / mole	0.2892364787333568 kilojoule / mole	13.158680392201145 kilojoule / mole	0.0
MALATE-DEH-RXN[CCO-CYTOSOL]-MAL/NAD//OXALACETIC_ACID/NADH/PROTON.50.	C00003 + C00149 = C00004 + C00036 + C00080	5.0 millimolar / second	29.558211165425092 kilojoule / mole	29.58047658514535 kilojoule / mole	29.58047658514535 kilojoule / mole	7.545237150936052 kilojoule / mole	0.0
RXN-10985	C00010 + C00080 + C00511 = C00001 + C00894	5.0 millimolar / second	27.014379715700215 kilojoule / mole	20.65471269877891 kilojoule / mole	37.76955023349994 kilojoule / mole	20.654712693416045 kilojoule / mole	0.68786
MALONATE-SEMIALDEHYDE-DEHYDROGENASE-RXN-MALONATE-S-ALD/NAD/WATER//MALONATE/NADH/PROTON.47.	C00004 + 2 C00080 + C00383 = C00001 + C00003 + C00222	5.0 millimolar / second	30.280521986695987 kilojoule / mole	13.890555146491824 kilojoule / mole	13.890555146491824 kilojoule / mole	20.65471268891793 kilojoule / mole	0.15607
ISOCIT-CLEAV-RXN	C00311 = C00042 + C00048	5.0 millimolar / second	9.51983219263957 kilojoule / mole	9.739436233683895 kilojoule / mole	-7.375401301037138 kilojoule / mole	0.9580838440831414 kilojoule / mole	0.0
