reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PEPCARBOX-RXN	C00074 + C00288 = C00009 + C00036	3.33333 millimolar / second	-32.510934857724 kilojoule / mole	-32.59528801574314 kilojoule / mole	-32.59528801574314 kilojoule / mole	-25.30318577556423 kilojoule / mole	0.0
GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	C00004 + C00011 + C00014 + C00143 = C00003 + C00037 + C00101	3.33333 millimolar / second	-22.18646711534643 kilojoule / mole	-22.084141460960115 kilojoule / mole	-4.969303926239084 kilojoule / mole	12.661244568651549 kilojoule / mole	0.0
2-OXOBUTYRATE-SYNTHASE-RXN	C00011 + C00080 + C00100 + 2 C00138 = C00010 + C00109 + 2 C00139	3.33333 millimolar / second	1.7911890349712394 kilojoule / mole	1.6578299284272446 kilojoule / mole	1.6578299284272446 kilojoule / mole	8.505695017830316 kilojoule / mole	0.0
RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	C00067 + C00101 = C00001 + C00143	3.33333 millimolar / second	-25.355278707548877 kilojoule / mole	-25.340315288705327 kilojoule / mole	-8.225477753984292 kilojoule / mole	3.0530787832130617 kilojoule / mole	0.0
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	3.33333 millimolar / second	19.810021191652694 kilojoule / mole	19.84131296133105 kilojoule / mole	19.84131296133105 kilojoule / mole	9.213170463690123 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	3.33333 millimolar / second	-5.187235000808812 kilojoule / mole	-5.106018648873864 kilojoule / mole	-5.106018648873864 kilojoule / mole	-38.953887847119056 kilojoule / mole	0.0
RXN-16767	C21424 = C00004	3.33333 millimolar / second	0.5321601063815251 kilojoule / mole	3.8063533151204667 kilojoule / mole	3.8063533151204667 kilojoule / mole	11.920565340359966 kilojoule / mole	0.0
2PGADEHYDRAT-RXN	C00001 + C00074 = C00631	3.33333 millimolar / second	3.8108873820314386 kilojoule / mole	3.8231433591872657 kilojoule / mole	3.8231433591872657 kilojoule / mole	4.755501456905533 kilojoule / mole	0.0
H2-METHYLENE-THMPT-DEHYDRO-RXN	C00080 + METHYLENETETRAHYDROMETHANOPTERIN = C00282 + C04330	3.33333 millimolar / second	-147.91593997413725 kilojoule / mole	-32.86400408724219 kilojoule / mole	-49.97884162196323 kilojoule / mole	-4.684707250241544 kilojoule / mole	0.0
PHOSACETYLTRANS-RXN	C00010 + C00227 = C00009 + C00024	3.33333 millimolar / second	-8.878981560286064 kilojoule / mole	-8.880571161906115 kilojoule / mole	-8.880571161906115 kilojoule / mole	3.532936256466345 kilojoule / mole	0.0
ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN-L-ALPHA-ALANINE/2-OXOBUTANOATE//PYRUVATE/CPD-298.49.	C00041 + C00109 = C00022 + C02721	3.33333 millimolar / second	34.57151619476036 kilojoule / mole	34.1002668467585 kilojoule / mole	34.1002668467585 kilojoule / mole	15.793410937850577 kilojoule / mole	0.0
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	3.33333 millimolar / second	-63.20180363413033 kilojoule / mole	-62.90777709142787 kilojoule / mole	-80.0226146261489 kilojoule / mole	-81.22556720910961 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NADP/WATER//OXALACETIC_ACID/AMMONIUM/NADPH/PROTON.62.	C00005 + C00014 + C00036 + C00080 = C00001 + C00006 + C00049	3.33333 millimolar / second	-39.1955939030197 kilojoule / mole	-39.180884371211164 kilojoule / mole	-22.06604683649013 kilojoule / mole	-2.3069728299476036 kilojoule / mole	0.0
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	3.33333 millimolar / second	-3.556927433845864 kilojoule / mole	-3.450054497287968 kilojoule / mole	-3.450054497287968 kilojoule / mole	0.9845451234694076 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NADP//L-ASPARTATE-SEMIALDEHYDE/NADPH/PROTON.53.	C00005 + C00080 + C00441 = C00006 + C00263	3.33333 millimolar / second	-22.390116860941134 kilojoule / mole	-22.38518022147105 kilojoule / mole	-22.38518022147105 kilojoule / mole	-7.6548144248000325 kilojoule / mole	0.0
HYDROG-RXN	2 C00139 + C00282 = 2 C00080 + 2 C00138	3.33333 millimolar / second	-19.5963599999833 kilojoule / mole	-19.596385004503265 kilojoule / mole	-2.481547469782233 kilojoule / mole	-36.0523894440045 kilojoule / mole	0.0
RXN-7566	C00009 + C00037 + C00080 + C00342 = C00001 + C00014 + C00227 + C00343	3.33333 millimolar / second	-2.7069868415694742 kilojoule / mole	-2.7114430578182938 kilojoule / mole	-2.7114430578182938 kilojoule / mole	15.762774592864226 kilojoule / mole	0.0
RXN-15513	C00631 = C00197	3.33333 millimolar / second	-4.52040798250934 kilojoule / mole	-4.504895990655893 kilojoule / mole	-4.504895990655893 kilojoule / mole	-1.8385787164992449 kilojoule / mole	0.0
N-METHYL-L-AMINO-ACID-OXIDASE-RXN-CPD-298/OXYGEN-MOLECULE/WATER//L-ALPHA-ALANINE/FORMALDEHYDE/HYDROGEN-PEROXIDE.78.	C00001 + C00007 + C02721 = C00027 + C00041 + C00067	3.33333 millimolar / second	-68.9962422617597 kilojoule / mole	-45.08991765818053 kilojoule / mole	-62.204755192901565 kilojoule / mole	-34.890992425100514 kilojoule / mole	0.0
PEPDEPHOS-RXN	C00002 + C00022 = C00008 + C00074 + C00080	6.66667 millimolar / second	27.583323358306416 kilojoule / mole	27.610424308443317 kilojoule / mole	27.610424308443317 kilojoule / mole	-6.130558690693472 kilojoule / mole	0.0
RXN-2883-METHYLENETETRAHYDROMETHANOPTERIN/NADP//METHENYLTETRAHYDROMETHANOPTERIN/NADPH.77.	C00005 + C04330 = C00006 + METHYLENETETRAHYDROMETHANOPTERIN	3.33333 millimolar / second	183.6229199381346 kilojoule / mole	68.7617395293415 kilojoule / mole	68.7617395293415 kilojoule / mole	24.727587773135753 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	3.33333 millimolar / second	20.34505342193961 kilojoule / mole	20.345056627666132 kilojoule / mole	3.2302190929450973 kilojoule / mole	7.8028613294741085 kilojoule / mole	0.0
RXN-16774	C00003 + C00027 = C00007 + C00080 + C21424	3.33333 millimolar / second	131.89141496345414 kilojoule / mole	105.0862103725441 kilojoule / mole	105.0862103725441 kilojoule / mole	25.216968531227504 kilojoule / mole	1.0
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	3.33333 millimolar / second	22.274273316339645 kilojoule / mole	22.27428184285774 kilojoule / mole	22.27428184285774 kilojoule / mole	16.082788851289045 kilojoule / mole	0.0
