reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-18384	C00005 + C00011 + C00894 = C00006 + C01213	3.33333 millimolar / second	-40.836293713945 kilojoule / mole	-40.78212761150893 kilojoule / mole	-23.6672900767879 kilojoule / mole	-24.905212969053615 kilojoule / mole	0.0
RXN-8457	C00001 + C00002 + C00011 + C00026 = C00008 + C00009 + 2 C00080 + C05379	3.33333 millimolar / second	-14.212150054010465 kilojoule / mole	-13.664517819513492 kilojoule / mole	-13.664517819513492 kilojoule / mole	-76.9178849641369 kilojoule / mole	0.0
OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN	C00005 + C00011 + C00091 = C00006 + C00010 + C00026	3.33333 millimolar / second	28.131231071570255 kilojoule / mole	28.28379419072738 kilojoule / mole	28.28379419072738 kilojoule / mole	11.685668049515833 kilojoule / mole	0.0
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	3.33333 millimolar / second	19.810021191652694 kilojoule / mole	19.839081464725265 kilojoule / mole	19.839081464725265 kilojoule / mole	11.09749571132862 kilojoule / mole	0.0
RXN-16767	C21424 = C00004	3.33333 millimolar / second	0.5321601063815251 kilojoule / mole	3.573070645272475 kilojoule / mole	3.573070645272475 kilojoule / mole	16.64984399390438 kilojoule / mole	0.0
2PGADEHYDRAT-RXN	C00001 + C00074 = C00631	3.33333 millimolar / second	3.8108873820314386 kilojoule / mole	3.822270113181384 kilojoule / mole	3.822270113181384 kilojoule / mole	2.738688316105472 kilojoule / mole	0.0
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	3.33333 millimolar / second	-63.201803634130385 kilojoule / mole	-62.92871452702447 kilojoule / mole	-80.0435520617455 kilojoule / mole	-74.5019597334122 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NAD/WATER//OXALACETIC_ACID/AMMONIUM/NADH/PROTON.60.	C00004 + C00014 + C00036 + C00080 = C00001 + C00003 + C00049	3.33333 millimolar / second	-39.326148937021344 kilojoule / mole	-39.326239238160255 kilojoule / mole	-22.211401703439222 kilojoule / mole	18.57503587925362 kilojoule / mole	0.0
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	3.33333 millimolar / second	-3.5569274338458854 kilojoule / mole	-3.457678958973264 kilojoule / mole	-3.457678958973264 kilojoule / mole	-0.7424619491412218 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51.	C00004 + C00080 + C00441 = C00003 + C00263	3.33333 millimolar / second	-22.520671894942552 kilojoule / mole	-22.529832346334064 kilojoule / mole	-22.529832346334064 kilojoule / mole	18.01354179849653 kilojoule / mole	0.0
RXN-15513	C00631 = C00197	3.33333 millimolar / second	-4.52040798250934 kilojoule / mole	-4.506001172542983 kilojoule / mole	-4.506001172542983 kilojoule / mole	-2.7361125044516132 kilojoule / mole	0.0
R23-RXN	C00004 + C00080 + C05379 = C00003 + C00311	3.33333 millimolar / second	-18.759583182588386 kilojoule / mole	-19.2312750089026 kilojoule / mole	-19.2312750089026 kilojoule / mole	16.910255789912263 kilojoule / mole	0.0
RXN-14047	C00311 = C00158	3.33333 millimolar / second	-6.843282680861449 kilojoule / mole	-6.838450216226676 kilojoule / mole	-6.838450216226676 kilojoule / mole	-3.1857517934234907 kilojoule / mole	0.0
PEPDEPHOS-RXN	C00002 + C00022 = C00008 + C00074 + C00080	3.33333 millimolar / second	27.58332335830646 kilojoule / mole	27.608493350480828 kilojoule / mole	27.608493350480828 kilojoule / mole	-5.770848364393684 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	3.33333 millimolar / second	20.345053421939667 kilojoule / mole	20.345055073125085 kilojoule / mole	3.2302175384040526 kilojoule / mole	19.620121104952997 kilojoule / mole	0.0
RXN-15977	C00007 + C00100 = C00027 + C00894	3.33333 millimolar / second	-71.86862986103537 kilojoule / mole	-50.18350416466882 kilojoule / mole	-50.18350416466882 kilojoule / mole	-27.05064362913046 kilojoule / mole	0.0
RXN-16774	C00003 + C00027 = C00007 + C00080 + C21424	3.33333 millimolar / second	131.89141496345414 kilojoule / mole	106.99620651910112 kilojoule / mole	106.99620651910112 kilojoule / mole	27.126964684269232 kilojoule / mole	1.0
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	3.33333 millimolar / second	22.274273316339418 kilojoule / mole	22.27427518914105 kilojoule / mole	22.27427518914105 kilojoule / mole	19.839083144473676 kilojoule / mole	0.0
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	3.33333 millimolar / second	-8.353466868023588 kilojoule / mole	-8.353466746815247 kilojoule / mole	-8.353466746815247 kilojoule / mole	-5.532493131814057 kilojoule / mole	0.0
ATP-CITRATE-PRO-S--LYASE-RXN	C00002 + C00010 + C00158 = C00008 + C00009 + C00024 + C00036	3.33333 millimolar / second	8.551954445346468 kilojoule / mole	8.558369941512915 kilojoule / mole	-8.556467593208119 kilojoule / mole	-6.953916421659542 kilojoule / mole	0.0
