reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-8957	C00005 + C00011 + C00877 = C00006 + C18026	3.33333 millimolar / second	-39.850515858687686 kilojoule / mole	-37.34202622246037 kilojoule / mole	-20.227188687739336 kilojoule / mole	-27.880091791866974 kilojoule / mole	0.0
PEPCARBOX-RXN	C00074 + C00288 = C00009 + C00036	3.33333 millimolar / second	-32.510934857724 kilojoule / mole	-32.402468871461494 kilojoule / mole	-32.402468871461494 kilojoule / mole	-27.76718795464602 kilojoule / mole	0.0
PYRUVATE-DEHYDROGENASE-NADP+-RXN	C00005 + C00011 + C00024 = C00006 + C00010 + C00022	3.33333 millimolar / second	34.15490275679191 kilojoule / mole	34.1265817540908 kilojoule / mole	34.1265817540908 kilojoule / mole	-12.149172115497462 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	3.33333 millimolar / second	-5.187235000808812 kilojoule / mole	-5.284957782605211 kilojoule / mole	-5.284957782605211 kilojoule / mole	-33.21850683521021 kilojoule / mole	0.0
FUMARATE-REDUCTASE-NADH-RXN	C00004 + C00080 + C00122 = C00003 + C00042	3.33333 millimolar / second	-61.21694462493679 kilojoule / mole	-59.92010017324256 kilojoule / mole	-59.92010017324256 kilojoule / mole	-44.501237099224014 kilojoule / mole	0.0
FUMHYDR-RXN[CCO-CYTOSOL]-MAL//FUM/WATER.28.	C00149 = C00001 + C00122	3.33333 millimolar / second	3.4300285975664337 kilojoule / mole	3.445514667720343 kilojoule / mole	3.445514667720343 kilojoule / mole	-12.85510706635707 kilojoule / mole	0.0
RXN-12957	C00028 + C00527 = C00030 + C02411	3.33333 millimolar / second	-4.271996296595717 kilojoule / mole	-61.562538589387394 kilojoule / mole	-61.562538589387394 kilojoule / mole	-39.99135631083166 kilojoule / mole	0.0
RXN-9092	C00002 + C00010 + C00989 = C00013 + C00020 + C11062	3.33333 millimolar / second	-26.43411614945444 kilojoule / mole	-25.54077679808138 kilojoule / mole	-25.54077679808138 kilojoule / mole	-21.531604515353045 kilojoule / mole	0.0
SUCCCOASYN-RXN[CCO-CYTOSOL]-SUC/ATP/CO-A//SUC-COA/ADP/Pi.42.	C00002 + C00010 + C00042 = C00008 + C00009 + C00091	3.33333 millimolar / second	-1.7513499411738849 kilojoule / mole	-1.7245935268620474 kilojoule / mole	-1.7245935268620474 kilojoule / mole	-18.881615698360935 kilojoule / mole	0.0
PEPDEPHOS-RXN	C00002 + C00022 = C00008 + C00074 + C00080	3.33333 millimolar / second	27.583323358306416 kilojoule / mole	27.55113382234688 kilojoule / mole	27.55113382234688 kilojoule / mole	-11.87673767457518 kilojoule / mole	0.0
MALATE-DEHYDROGENASE-NADP+-RXN	C00005 + C00036 + C00080 = C00006 + C00149	3.33333 millimolar / second	-29.427656131423902 kilojoule / mole	-29.452307605781876 kilojoule / mole	-29.452307605781876 kilojoule / mole	-22.77365410752191 kilojoule / mole	0.0
RXN-13230	C06028 = C18323	3.33333 millimolar / second	1.3574208423960954e-10 kilojoule / mole	1.3574208423960954e-10 kilojoule / mole	1.3574208423960954e-10 kilojoule / mole	-9.643930454013958 kilojoule / mole	0.16667
RXN-8965	C00001 + C18323 = C01011	3.33333 millimolar / second	-0.3988046682220556 kilojoule / mole	-7.714563769985377 kilojoule / mole	-7.714563769985377 kilojoule / mole	-9.643930453983089 kilojoule / mole	0.16667
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	C00004 + C00080 + C00232 = C00003 + C00989	3.33333 millimolar / second	0.3823853604100691 kilojoule / mole	0.3892050890781543 kilojoule / mole	0.3892050890781543 kilojoule / mole	-12.525061724196208 kilojoule / mole	0.0
GLUTARYL-COA-DEHYDROG-RXN	C02411 + ETF__45__Reduced = C00080 + C00527 + C04253	3.33333 millimolar / second	4.271996296595717 kilojoule / mole	32.39696465379667 kilojoule / mole	32.39696465379667 kilojoule / mole	-9.643929975145642 kilojoule / mole	0.16667
CITRAMALYL-COA-LYASE-RXN	C01011 = C00022 + C00024	3.33333 millimolar / second	7.059838100394472 kilojoule / mole	7.517080759203912 kilojoule / mole	-9.597756775517121 kilojoule / mole	-12.171767972581657 kilojoule / mole	0.0
RXN-16391	C18026 = C20238	3.33333 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-9.643930454346195 kilojoule / mole	0.16667
RXN-8958	C20238 = C18324	3.33333 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-9.643930454350748 kilojoule / mole	0.16667
RXN-8890	C11062 = C00001 + C00877	3.33333 millimolar / second	-10.85361710774373 kilojoule / mole	-10.783586683113684 kilojoule / mole	-10.783586683113684 kilojoule / mole	-17.361225216964755 kilojoule / mole	0.0
RXN-8959	C00080 + C04253 + C18324 = C06028 + ETF__45__Reduced	3.33333 millimolar / second	-7.5268491326257845 kilojoule / mole	-36.90641594959908 kilojoule / mole	-36.90641594959908 kilojoule / mole	-9.643929975145635 kilojoule / mole	0.16667
RXN-8891	C00005 + C00080 + C00091 = C00006 + C00010 + C00232	3.33333 millimolar / second	11.058348804426089 kilojoule / mole	10.624256198835191 kilojoule / mole	-6.490581335885843 kilojoule / mole	-16.303692739098505 kilojoule / mole	0.0
