reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PROPIONYL-COA-CARBOXY-RXN	C00002 + C00100 + C00288 = C00008 + C00009 + C00080 + C00683	3.33333 millimolar / second	-2.7445003681897973 kilojoule / mole	-2.970427479889116 kilojoule / mole	-2.970427479889116 kilojoule / mole	-35.3491128953207 kilojoule / mole	0.0
RXN-8457	C00001 + C00002 + C00011 + C00026 = C00008 + C00009 + 2 C00080 + C05379	3.33333 millimolar / second	-14.212150054010706 kilojoule / mole	-13.632652144081396 kilojoule / mole	-13.632652144081396 kilojoule / mole	-71.02051336122204 kilojoule / mole	0.0
GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	C00004 + C00011 + C00014 + C00143 = C00003 + C00037 + C00101	3.33333 millimolar / second	-22.18646711534643 kilojoule / mole	-22.085906471154974 kilojoule / mole	-4.971068936433941 kilojoule / mole	6.316530120720788 kilojoule / mole	0.0
RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	C00067 + C00101 = C00001 + C00143	3.33333 millimolar / second	-25.355278707548848 kilojoule / mole	-25.34057306608813 kilojoule / mole	-8.225735531367095 kilojoule / mole	0.12248749243121654 kilojoule / mole	0.0
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	3.33333 millimolar / second	19.81002119165261 kilojoule / mole	19.840775105582445 kilojoule / mole	19.840775105582445 kilojoule / mole	10.659525256340865 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	3.33333 millimolar / second	-5.187235000808812 kilojoule / mole	-5.107420932254599 kilojoule / mole	-5.107420932254599 kilojoule / mole	-34.34447128410787 kilojoule / mole	0.0
HYDGLUTSYN-RXN	C00001 + C00048 + C00100 = C00010 + C00080 + C02630	3.33333 millimolar / second	-39.55379493750618 kilojoule / mole	-39.68527629510826 kilojoule / mole	-39.68527629510826 kilojoule / mole	-63.52455555987765 kilojoule / mole	0.0
RXN-16767	C21424 = C00004	3.33333 millimolar / second	0.5321601063815251 kilojoule / mole	3.7500037236148316 kilojoule / mole	3.7500037236148316 kilojoule / mole	15.52845275778174 kilojoule / mole	0.0
ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN-L-ALPHA-ALANINE/2-OXOBUTANOATE//PYRUVATE/CPD-298.49.	C00041 + C00109 = C00022 + C02721	3.33333 millimolar / second	34.57151619476036 kilojoule / mole	34.1083612736231 kilojoule / mole	34.1083612736231 kilojoule / mole	16.240531457540797 kilojoule / mole	0.0
2.6.1.35-RXN	C00036 + C00037 = C00048 + C00049	3.33333 millimolar / second	5.688872197516531 kilojoule / mole	5.627709798816677 kilojoule / mole	5.627709798816677 kilojoule / mole	0.6075177319032307 kilojoule / mole	0.0
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	6.66667 millimolar / second	-63.20180363413033 kilojoule / mole	-62.9128283639141 kilojoule / mole	-80.02766589863514 kilojoule / mole	-73.8686734733359 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NAD/WATER//OXALACETIC_ACID/AMMONIUM/NADH/PROTON.60.	C00004 + C00014 + C00036 + C00080 = C00001 + C00003 + C00049	3.33333 millimolar / second	-39.32614893702137 kilojoule / mole	-39.326245166808036 kilojoule / mole	-22.211407632087006 kilojoule / mole	18.989191603746956 kilojoule / mole	0.0
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	3.33333 millimolar / second	-3.5569274338457717 kilojoule / mole	-3.4518902162557032 kilojoule / mole	-3.4518902162557032 kilojoule / mole	-8.948694631117302 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NADP//L-ASPARTATE-SEMIALDEHYDE/NADPH/PROTON.53.	C00005 + C00080 + C00441 = C00006 + C00263	6.66667 millimolar / second	-22.390116860941134 kilojoule / mole	-22.385265807402945 kilojoule / mole	-22.385265807402945 kilojoule / mole	5.820932750637178 kilojoule / mole	0.0
RXN-14103	C00016 + C00080 + C02630 = C00026 + C01352	3.33333 millimolar / second	-0.14907495812690286 kilojoule / mole	-0.10183806889633507 kilojoule / mole	-0.10183806889633507 kilojoule / mole	16.658343931226838 kilojoule / mole	0.0
