reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PEPCARBOX-RXN	C00074 + C00288 = C00009 + C00036	3.33333 millimolar / second	-32.510934857724 kilojoule / mole	-32.5546058049426 kilojoule / mole	-32.5546058049426 kilojoule / mole	-23.738796181939684 kilojoule / mole	0.0
GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	C00004 + C00011 + C00014 + C00143 = C00003 + C00037 + C00101	3.33333 millimolar / second	-22.18646711534643 kilojoule / mole	-22.74061926904982 kilojoule / mole	-5.625781734328787 kilojoule / mole	-7.926503135919304 kilojoule / mole	0.0
2-OXOBUTYRATE-SYNTHASE-RXN	C00011 + C00080 + C00100 + 2 C00138 = C00010 + C00109 + 2 C00139	3.33333 millimolar / second	1.7911890349712394 kilojoule / mole	3.736610638780116 kilojoule / mole	3.736610638780116 kilojoule / mole	-2.710486515340413 kilojoule / mole	0.03448
RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	C00067 + C00101 = C00001 + C00143	3.33333 millimolar / second	-25.355278707548877 kilojoule / mole	-23.950400759188433 kilojoule / mole	-6.835563224467398 kilojoule / mole	-5.4424951363545855 kilojoule / mole	0.0
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	3.33333 millimolar / second	19.810021191652694 kilojoule / mole	19.260442617830613 kilojoule / mole	19.260442617830613 kilojoule / mole	-4.210502699413422 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	3.33333 millimolar / second	-5.187235000808812 kilojoule / mole	-8.064232584727543 kilojoule / mole	-8.064232584727543 kilojoule / mole	-30.191480916282046 kilojoule / mole	0.0
METHYLGUTAMATE-DEHYDROGENASE-RXN	C00001 + C00028 + C01046 = C00025 + C00030 + C00067	3.33333 millimolar / second	-4.537018018471713 kilojoule / mole	49.718541738385895 kilojoule / mole	32.60370420366486 kilojoule / mole	-2.7104865014783357 kilojoule / mole	0.14324
PHOSACETYLTRANS-RXN	C00010 + C00227 = C00009 + C00024	3.33333 millimolar / second	-8.878981560286064 kilojoule / mole	-8.80890348771718 kilojoule / mole	-8.80890348771718 kilojoule / mole	-4.737025823985386 kilojoule / mole	0.0
L-AMINO-ACID-DEHYDROGENASE-RXN-CPD-298/NAD/WATER//2-OXOBUTANOATE/AMMONIUM/NADH/PROTON.55.	C00004 + C00014 + C00080 + C00109 = C00001 + C00003 + C02721	3.33333 millimolar / second	-2.08905385281264 kilojoule / mole	-11.121436993107729 kilojoule / mole	5.993400541613305 kilojoule / mole	-2.710486513581035 kilojoule / mole	0.10743
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	3.33333 millimolar / second	-63.20180363413033 kilojoule / mole	-47.04590858831099 kilojoule / mole	-64.16074612303203 kilojoule / mole	-50.56516077145524 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NADP/WATER//OXALACETIC_ACID/AMMONIUM/NADPH/PROTON.62.	C00005 + C00014 + C00036 + C00080 = C00001 + C00006 + C00049	3.33333 millimolar / second	-39.1955939030197 kilojoule / mole	-39.194896772782585 kilojoule / mole	-22.08005923806155 kilojoule / mole	-2.710486515344939 kilojoule / mole	0.03581
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	3.33333 millimolar / second	-3.556927433845864 kilojoule / mole	-9.132031614890408 kilojoule / mole	-9.132031614890408 kilojoule / mole	-3.8698068977449482 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NADP//L-ASPARTATE-SEMIALDEHYDE/NADPH/PROTON.53.	C00005 + C00080 + C00441 = C00006 + C00263	3.33333 millimolar / second	-22.390116860941134 kilojoule / mole	-23.498474831429256 kilojoule / mole	-23.498474831429256 kilojoule / mole	-2.710486515323587 kilojoule / mole	0.03581
HYDROG-RXN	2 C00139 + C00282 = 2 C00080 + 2 C00138	3.33333 millimolar / second	-19.5963599999833 kilojoule / mole	-9.15758367435272 kilojoule / mole	7.957253860368313 kilojoule / mole	-2.7104865153652593 kilojoule / mole	0.03448
RXN-7566	C00009 + C00037 + C00080 + C00342 = C00001 + C00014 + C00227 + C00343	3.33333 millimolar / second	-2.7069868415694742 kilojoule / mole	-2.74092773851784 kilojoule / mole	-2.74092773851784 kilojoule / mole	-5.346218617006425 kilojoule / mole	0.0
2.1.1.21-RXN	C00025 + C00218 = C00014 + C01046	3.33333 millimolar / second	-4.6493349809613775 kilojoule / mole	-7.196372562531083 kilojoule / mole	-7.196372562531083 kilojoule / mole	-2.7104865133730627 kilojoule / mole	0.14324
N-METHYLALANINE-DEHYDROGENASE-RXN	C00001 + C00006 + C02721 = C00005 + C00022 + C00080 + C00218	3.33333 millimolar / second	45.62012575108116 kilojoule / mole	47.44931354524389 kilojoule / mole	30.334476010522856 kilojoule / mole	-2.7104865135723273 kilojoule / mole	0.10743
1.12.5.1-RXN-CPD-9721/HYDROGEN-MOLECULE//CPD-12130.38.	CPD__45__12130 = C00282 + CPD__45__9721	3.33333 millimolar / second	99.09999999999599 kilojoule / mole	32.67982189670819 kilojoule / mole	15.564984361987158 kilojoule / mole	-2.7104865014783215 kilojoule / mole	0.14324
PEPDEPHOS-RXN	C00002 + C00022 = C00008 + C00074 + C00080	3.33333 millimolar / second	27.583323358306416 kilojoule / mole	27.724642709378422 kilojoule / mole	27.724642709378422 kilojoule / mole	-4.603485336946953 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	3.33333 millimolar / second	20.34505342193961 kilojoule / mole	19.199390820996747 kilojoule / mole	2.084553286275714 kilojoule / mole	-2.7104865153265116 kilojoule / mole	0.03581
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	3.33333 millimolar / second	22.274273316339645 kilojoule / mole	18.83728583636974 kilojoule / mole	18.83728583636974 kilojoule / mole	-2.7104865153285993 kilojoule / mole	0.03581
RXN-11162	C00030 + CPD__45__9721 = C00028 + CPD__45__12130	3.33333 millimolar / second	0.0 kilojoule / mole	-2.6554430820171664 kilojoule / mole	-2.6554430820171664 kilojoule / mole	-2.7104864965203115 kilojoule / mole	0.14324
